Year,Estado,Subindustria,USD
2007,Ciudad de Mexico,Industria del papel,11162
2007,Ciudad de Mexico,Impresion e industrias conexas,17009
2007,Ciudad de Mexico,Fabricacion de productos derivados del petroleo y del carbon,928
2007,Ciudad de Mexico,Industria quimica,1222791
2007,Ciudad de Mexico,Industria del plastico y del hule,87926
2007,Ciudad de Mexico,Fabricacion de productos a base de minerales no metalicos,60144
2007,Ciudad de Mexico,Industrias metalicas basicas,11422
2007,Ciudad de Mexico,Fabricacion de productos metalicos,127742
2007,Ciudad de Mexico,Fabricacion de maquinaria y equipo,42524
2007,Ciudad de Mexico,"Fabricacion de equipo de computacion, comunicacion, medicion y de otros equipos, componentes y accesorios electronicos",59681
2007,Ciudad de Mexico,"Fabricacion de accesorios, aparatos electricos y equipo de generacion de energia electrica",213253
2007,Ciudad de Mexico,Fabricacion de equipo de transporte,234112
2007,Ciudad de Mexico,"Fabricacion de muebles, colchones y persianas",16351
2007,Ciudad de Mexico,Otras industrias manufactureras,54506
2007,Durango,Subsectores no especificados,52420
2007,Durango,Industria alimentaria,12043
2007,Durango,Fabricacion de prendas de vestir,458195
2007,Durango,Industria de la madera,42837
2007,Durango,Industria del plastico y del hule,3663
2007,Durango,Fabricacion de productos a base de minerales no metalicos,42516
2007,Durango,Industrias metalicas basicas,22087
2007,Durango,Fabricacion de productos metalicos,24605
2007,Durango,Fabricacion de maquinaria y equipo,67303
2007,Durango,Fabricacion de equipo de transporte,150571
2007,Durango,"Fabricacion de muebles, colchones y persianas",2464
2007,Guanajuato,Subsectores no especificados,346564
2007,Guanajuato,Industria alimentaria,335731
2007,Guanajuato,Fabricacion de insumos textiles y acabado de textiles,38981
2007,Guanajuato,Fabricacion de prendas de vestir,81043
2007,Guanajuato,"Curtido y acabado de cuero y piel, y fabricacion de productos de cuero, piel y materiales sucedaneos",275773
2007,Guanajuato,Industria del papel,2443
2007,Guanajuato,Impresion e industrias conexas,10117
2007,Guanajuato,Industria quimica,185075
2007,Guanajuato,Industria del plastico y del hule,94237
2007,Guanajuato,Fabricacion de productos a base de minerales no metalicos,21283
2007,Guanajuato,Industrias metalicas basicas,209436
2007,Guanajuato,Fabricacion de productos metalicos,61497
2007,Guanajuato,Fabricacion de maquinaria y equipo,3246
2007,Guanajuato,"Fabricacion de accesorios, aparatos electricos y equipo de generacion de energia electrica",180057
2007,Guanajuato,Fabricacion de equipo de transporte,4566359
2007,Guanajuato,"Fabricacion de muebles, colchones y persianas",11814
2007,Guanajuato,Otras industrias manufactureras,1594
2007,Guerrero,Subsectores no especificados,135770
2007,Guerrero,Fabricacion de productos a base de minerales no metalicos,6348
2007,Hidalgo,Subsectores no especificados,485848
2007,Hidalgo,Industria alimentaria,21587
2007,Hidalgo,Fabricacion de insumos textiles y acabado de textiles,60783
2007,Hidalgo,Fabricacion de prendas de vestir,98345
